"N_mean","N_median","N95","N05"
59527.1573961696,58472.6820336977,76345.5825858803,46211.4248703204
60657.2599711399,60090.5171835196,72940.8064703273,50228.1639937709
58068.8074195602,57747.5525913094,67769.4335291075,49434.5148644718
64947.2909058702,64155.2894015941,80984.9314238537,51532.8406411987
67769.3569967933,66853.2073250472,86977.2274533365,51832.3011193413
70297.9132886727,69253.2379908239,88140.756878609,55826.2058444637
58010.3714871388,56850.5772698167,76544.2163546057,43539.3395622565
52224.7345497128,51391.3383448299,69000.7193779839,38387.6623656145
49483.067012112,48666.8512743942,66102.3506360667,35685.5453628786
54469.7152247504,53723.2177362742,68166.7710574632,43456.6852284002
