date,NOW_distance_km
11.08.2017,69.5
26.08.2017,49.2
05.09.2017,49
15.09.2017,49
01.10.2017,48.9
15.10.2017,48.9
28.10.2017,48.8
07.11.2017,48.4
17.11.2017,47.7
28.11.2017,47
07.12.2017,44.2
14.12.2017,43.5
24.12.2017,15.8
11.08.2018,17.2
14.08.2018,16.7
20.08.2018,14.8
26.08.2018,13
02.09.2018,11.2
13.09.2018,1.5
20.09.2018,9.6
24.09.2018,9.3
02.10.2018,8.4
09.10.2018,9.6
15.10.2018,9.7
22.10.2018,3.4
27.10.2018,1.2
01.11.2018,0.65
07.11.2018,0.6
16.11.2018,0.5
21.11.2018,0.5
01.12.2018,0.5
07.12.2018,0.4
14.12.2018,0.4
21.12.2018,0.4
30.12.2018,0.4
09.08.2019,0.7
12.08.2019,14.5
19.08.2019,12.7
29.08.2019,90.6
03.09.2019,98.8
08.09.2019,70.7
15.09.2019,65.4
21.09.2019,17.6
28.09.2019,18.6
02.10.2019,22.2
07.10.2019,23.4
14.10.2019,19.9
21.10.2019,17.3
27.10.2019,16
01.11.2019,15.9
07.11.2019,15.3
20.11.2019,9.9
27.11.2019,9.3
04.12.2019,1.4
10.12.2019,1.4
20.12.2019,1.4
28.12.2019,1.4
07.08.2020,43.5
12.08.2020,15
16.08.2020,15.8
22.08.2020,16.3
27.08.2020,15
31.08.2020,14.5
05.09.2020,14.5
09.09.2020,0.5
15.09.2020,0.5
21.09.2020,8.3
01.10.2020,7.4
06.10.2020,5.2
12.10.2020,5.2
15.10.2020,8.3
20.10.2020,8.3
25.10.2020,8.3
31.10.2020,8.3
05.11.2020,8.3
10.11.2020,8.3
15.11.2020,6.1
19.11.2020,0.6
25.11.2020,0.6
30.11.2020,0.5
05.12.2020,0.5
09.12.2020,0.5
15.12.2020,0.5
21.12.2020,0.5
28.12.2020,0.5
09.08.2021,66.9
14.08.2021,15.7
20.08.2021,16
27.08.2021,15.3
02.09.2021,13
14.09.2021,49
18.09.2021,15.6
26.09.2021,6.2
01.10.2021,6.2
10.10.2021,2.4
17.10.2021,9.1
25.10.2021,8.6
01.11.2021,1.8
07.11.2021,0.6
14.11.2021,0.5
22.11.2021,0.5
29.11.2021,0.5
02.12.2021,0.7
07.12.2021,0.5
14.12.2021,0.5
21.12.2021,0.5
28.12.2021,0.5
