date image,date_climwin,NOW,FIA,,
7/5/1979,05/01/1979,9.628453,17670.41039,,
7/6/1979,06/01/1979,54.21501,17008.32271,,
1/7/1979,07/01/1979,0,6177.195883,,
16/08/1979,08/01/1979,3.059217,1941.308739,,
13/09/1979,09/01/1979,6.623071,26779.78897,,
26/10/1979,10/01/1979,70.68744,25841.1476,,
12/11/1979,11/01/1979,75.24492,23953.21014,,
16/05/80,05/01/1980,5.414763,11188.88617,,
22/06/80,06/01/1980,2.668625,17985.23366,,
7/7/1980,07/01/1980,26.92341,26124.88607,,
18/08/80,08/01/1980,62.76334,20585.17867,,
23/09/80,09/01/1980,58.33584,21214.63904,,
20/10/80,10/01/1980,61.87071,26282.25116,,
28/11/80,11/01/1980,41.94122,16977.1848,,
19/05/1981,05/01/1981,60.49084,25839.80438,,
25/06/1981,06/01/1981,0,8224.562475,,
4/7/1981,07/01/1981,10.43196,10399.78005,,
13/08/1981,08/01/1981,0,14017.87396,,
5/9/1981,09/01/1981,0,15930.36484,,
14/10/1981,10/01/1981,49.03465,21821.29288,,
10/11/1981,11/01/1981,14.08762,14776.35416,,
10/5/1982,05/01/1982,0,6393.975047,,
29/07/82,07/01/1982,0,19954.5547,,
16/08/82,08/01/1982,70.84975,26495.98111,,
16/09/82,09/01/1982,7.538818,1043.933647,,
16/10/82,10/01/1982,6.604312,9064.069743,,
17/11/82,11/01/1982,0,4583.02703,,
4/5/1983,05/01/1983,0,2442.57992,,
17/06/83,06/01/1983,0,9644.883736,,
16/07/83,07/01/1983,31.39652,23488.20888,,
5/8/1983,08/01/1983,6.947764,13766.36283,,
6/9/1983,09/01/1983,8.200133,11666.24091,,
13/10/83,10/01/1983,7.611902,14525.95446,,
17/11/83,11/01/1983,5.470337,11854.03914,,
8/5/1984,05/01/1984,3.527108,9216.90541,,
15/06/84,06/01/1984,7.060776,36284.43009,,
23/07/84,07/01/1984,85.98093,37584.5428,,
22/08/84,08/01/1984,78.56664,28512.88041,,
29/09/84,09/01/1984,70.67945,27786.15609,,
22/10/84,10/01/1984,45.22895,21026.33319,,
24/11/84,11/01/1984,7.060776,6950.035578,,
12/5/1985,05/01/1985,0,4290.188535,,
21/07/85,07/01/1985,0,6162.418899,,
17/08/85,08/01/1985,82.48574,29342.46929,,
13/09/1985,09/01/1985,45.93247,16811.61878,,
6/10/1985,10/01/1985,0,8412.818852,,
13/11/85,11/01/1985,0,2431.921355,,
25/05/86,05/01/1986,5.908269,11137.51174,,
26/06/86,06/01/1986,0,9216.923139,,
23/07/86,07/01/1986,8.305776,15425.12927,,
9/8/1986,08/01/1986,8.875302,5425.536911,,
6/9/1986,09/01/1986,8.875302,12278.7878,,
24/10/86,10/01/1986,6.4076,6474.503884,,
26/11/86,11/01/1986,6.968126,29622.84218,,
2/5/1987,05/01/1987,0,9914.985396,,
3/6/1987,06/01/1987,0,16548.94449,,
24/07/87,07/01/1987,49.23705,24827.27512,,
17/08/87,08/01/1987,34.27175,15466.63343,,
3/9/1987,09/01/1987,0,20645.43709,,
7/10/1987,10/01/1987,12.17613,24683.08993,,
12/11/1987,11/01/1987,7.145395,21711.81344,,
17/05/88,05/01/1988,0,13049.49496,,
17/06/88,06/01/1988,70.90702,25898.22368,,
2/7/1988,07/01/1988,75.0923,26114.61003,,
7/8/1988,08/01/1988,58.23358,29271.08841,,
2/9/1988,09/01/1988,55.84937,20460.02027,,
5/10/1988,10/01/1988,53.7755,21923.16034,,
25/11/88,11/01/1988,44.56129,20326.57409,,
14/05/89,05/01/1989,0,10048.71272,,
8/6/1989,06/01/1989,68.69153,28780.3372,,
8/7/1989,07/01/1989,65.16494,24653.08071,,
3/8/1989,08/01/1989,73.02778,25626.3072,,
15/09/89,09/01/1989,29.38743,20791.25883,,
22/10/89,10/01/1989,33.06158,26716.92433,,
17/11/89,11/01/1989,34.29925,22913.94866,,
13/05/90,05/01/1990,0,12276.48208,,
15/06/90,06/01/1990,0,6800.3675,,
11/7/1990,07/01/1990,40.99977,18001.20536,,
4/8/1990,08/01/1990,71.52141,27602.15099,,
6/9/1990,09/01/1990,68.72693,23926.31525,,
12/10/1990,10/01/1990,68.21247,23766.81885,,
15/11/90,11/01/1990,70.83153,24154.4322,,
18/05/91,05/01/1991,4.837635,6591.786832,,
18/06/91,06/01/1991,4.600488,9626.452331,,
17/07/91,07/01/1991,4.017178,13143.46577,,
11/8/1991,08/01/1991,22.38585,22358.54969,,
11/9/1991,09/01/1991,63.58374,25195.4034,,
25/10/91,10/01/1991,51.86897,23053.47223,,
14/11/91,11/01/1991,41.96574,17719.69001,,
05/01/1992,05/01/1992,0,24528.46051,,
06/01/1992,06/01/1992,23.17791,16910.06639,,
07/01/1992,07/01/1992,46.90229,27170.73428,,
08/01/1992,08/01/1992,53.86714,21302.63399,,
09/01/1992,09/01/1992,60.06952,20895.33408,,
10/01/1992,10/01/1992,69.41669,24265.87202,,
11/01/1992,11/01/1992,61.04529,22949.76784,,
05/01/1993,05/01/1993,0,6678.764025,,
06/01/1993,06/01/1993,96.42032,29648.52015,,
07/01/1993,07/01/1993,0,16231.24406,,
08/01/1993,08/01/1993,0,13748.78348,,
10/01/1993,10/01/1993,11.36611,18678.65884,,
11/01/1993,11/01/1993,16.22991,13183.14189,,
05/01/1994,05/01/1994,42.44297,14710.49363,,
06/01/1994,06/01/1994,11.05008,14800.56313,,
18/07/1994,07/01/1994,13.13065,26473.22586,,
08/07/1994,08/01/1994,79.56403,26657.52426,,
09/10/1994,09/01/1994,83.16519,27304.61429,,
1/10/1994,10/01/1994,90.73607,29521.25133,,
1/11/1994,11/01/1994,95.18275,31508.25836,,
1/5/1995,05/01/1995,0,10958.52567,,
1/6/1995,06/01/1995,75.6413,23450.31351,,
1/7/1995,07/01/1995,0,27167.48297,,
1/8/1995,08/01/1995,51.1702,25588.81478,,
1/9/1995,09/01/1995,21.13896,23995.4019,,
1/10/1995,10/01/1995,64.71092,24408.76259,,
1/11/1995,11/01/1995,67.82577,26641.28272,,
1/5/1996,05/01/1996,30.4824,23196.5797,,
1/6/1996,06/01/1996,0,16750.4179,,
1/7/1996,07/01/1996,0,13259.19585,,
1/8/1996,08/01/1996,112.3886,41900.25056,,
1/9/1996,09/01/1996,84.56365,27430.7644,,
1/10/1996,10/01/1996,45.5128,25498.02387,,
1/11/1996,11/01/1996,42.46124,25090.24913,,
1/6/1997,06/01/1997,10.70866,10527.66372,,
1/7/1997,07/01/1997,10.69827,19511.74179,,
1/8/1997,08/01/1997,13.07461,24038.22756,,
1/9/1997,09/01/1997,0,25814.56134,,
1/10/1997,10/01/1997,72.39749,27882.85421,,
1/11/1997,11/01/1997,46.21652,22760.22563,,
1/6/1998,06/01/1998,17.62562,15794.61389,,
1/7/1998,07/01/1998,45.34613,23669.18888,,
1/8/1998,08/01/1998,17.29752,14710.74694,,
1/9/1998,09/01/1998,5.900226,11781.71661,,
1/10/1998,10/01/1998,8.755052,15489.14354,,
1/11/1998,11/01/1998,7.687805,10247.59012,,
1/5/1999,05/01/1999,4.820679,2182.615586,,
1/6/1999,06/01/1999,10.13377,12562.61781,,
1/7/1999,07/01/1999,13.56889,19752.55126,,
1/8/1999,08/01/1999,13.90881,14439.76305,,
1/9/1999,09/01/1999,8.611096,18640.87878,,
1/10/1999,10/01/1999,8.72067,22615.58707,,
1/11/1999,11/01/1999,11.31576,10242.15464,,
1/5/2000,05/01/2000,6.8184,6544.74,,
1/6/2000,06/01/2000,0.421088,24885,,
1/7/2000,07/01/2000,72.9254,28018,,
1/8/2000,08/01/2000,61.8666,27124.9,,
1/9/2000,09/01/2000,47.3442,28573,,
1/10/2000,10/01/2000,9.59505,22801.1,,
1/11/2000,11/01/2000,4.27735,6501.95,,
1/5/2001,05/01/2001,10.1857,20878.1,,
1/6/2001,06/01/2001,66.485,25850.1,,
1/7/2001,07/01/2001,58.23,22930.2,,
1/8/2001,08/01/2001,30.5763,18849,,
1/9/2001,09/01/2001,76.5399,27499.2,,
1/10/2001,10/01/2001,75.56,27690.3,,
1/11/2001,11/01/2001,75.1693,25430.4,,
1/5/2002,05/01/2002,9.20235,7219.08,,
1/6/2002,06/01/2002,0.421088,12355.8,,
1/7/2002,07/01/2002,0.421088,19921.1,,
1/8/2002,08/01/2002,0.421088,21627.1,,
