site_id,latitude,longitude,new_n
SNOW,-64.5238,-57.4445,1
JASN,-66.0996,-60.6737,2
DOLL,-70.6106,-60.4207,3
SMTH,-74.3693,-60.8273,4
GOUL,-77.7099,-47.6562,5
LUIT,-77.271,-33.552,6
HALY,-75.54,-27.43,7
DAWS,-76.0143,-26.6479,8
STCB,-74.1203,-23.0867,9
DRES,-72.8257,-19.3262,10
RIIS,-72.1245,-15.106,11
ATKA,-70.6142,-8.1317,12
SANA,-69.9994,-1.4128,13
ASTD,-69.9481,8.3176,14
LAZA,-69.7504,15.5493,15
RAGN,-69.908,27.1548,16
GUNN,-68.7625,34.3819,17
UMBE,-68.0459,43.0172,18
CBYW,-67.312,46.957,19
AMUN,-66.7826,50.5437,20
KLOA,-66.6407,57.2779,21
FOLD,-67.3239,59.3159,22
TAYG,-67.4543,60.8778,23
AUST,-67.3966,63.9742,24
DARN,-67.887,69.696,25
AMAN,-69.2711,76.8348,26
WISH,-67.225,81.931,27
BBAY,-66.55,81.818,28
KARE,-66.4118,85.3836,29
BURT,-66.272,89.695,30
HASW,-66.5308,93.0079,31
SHAC,-65.0887,96.02,32
BOWM,-65.1613,103.0674,33
PSON,-65.9175,110.2355,34
POIN,-65.7817,113.2351,35
SABC,-66.177,121.058,36
PBAY,-66.3204,129.7496,37
DIBB,-65.9999,134.7996,38
PGEO,-66.6744,140.0052,39
MERB,-67.322,145.893,40
MERT,-66.892,146.62,41
NINN,-66.7229,149.677,42
DBAY,-69.3484,158.4924,43
ROGE,-71.9882,170.5972,44
COUL,-73.3483,169.6242,45
WASH,-74.6373,165.3821,46
YULE,-70.7161,166.4777,47
FRAN,-76.1873,168.4401,48
BEAN,-76.94,167.039,49
CROZ,-77.4653,169.3294,50
CBEK,-77.14,-157.7,51
RUPE,-75.3821,-143.3076,52
CRUZ,-74.7341,-140.3266,53
LEDD,-74.42,-130.96,54
THUR,-73.4977,-125.6204,55
GATE,-73.6609,-122.697,56
BEAR,-74.3922,-110.1917,57
BSON,-74.14,-103.48,58
NOVI,-71.7693,-98.4467,59
PFRO,-72.5687,-89.9058,60
BRYA,-73.2491,-85.3477,61
SMYL,-72.3017,-78.8195,62
VERD,-71.5559,-74.7603,63
ROTS,-69.5209,-72.2293,64
DION,-67.8647,-68.71,65
DARL,-71.8872,-60.1338,66
