"site_id","N_avg"
"SNOW",3323.78
"JASN",1788.48
"DOLL",3770.82
"SMTH",3197.54
"GOUL",4423.55
"LUIT",4614.44
"HALY",12336.8
"DAWS",4307
"STCB",6011.91
"DRES",7365.22
"RIIS",4970.15
"ATKA",6830.85
"SANA",4416.2
"ASTD",3251.88
"LAZA",217
"RAGN",4626.18
"GUNN",2789.2
"UMBE",112
"AMUN",69.24
"KLOA",1289.41
"FOLD",287.08
"TAYG",797.57
"AUST",4035.12
"DARN",2663.76
"AMAN",4266.66
"BBAY",359.47
"HASW",3289.31
"SHAC",4082.62
"BOWM",1319.69
"PSON",1553.23
"DIBB",9710.95
"PGEO",1578.13
"MERT",5292.15
"DBAY",2211.77
"ROGE",7982.71
"COUL",26476.52
"WASH",14039.83
"FRAN",6347.97
"BEAN",1416.02
"CROZ",1070.74
"CBEK",22265.75
"RUPE",1752.55
"LEDD",616.08
"THUR",3402.92
"BEAR",3684.28
"BSON",3872.18
"NOVI",3045.64
"BRYA",1035.81
"SMYL",4313.6
"ROTS",796.6
