"N_mean","N_median","N95","N05"
253089.771110021,251688.562532764,293769.375768578,217065.515899924
233428.337223696,232383.202409763,268089.263112364,202352.984615706
221248.584124136,220318.112536725,252502.721528686,193357.862202109
225418.958327767,224414.951355693,258063.474390872,196404.209995358
220739.120840667,219595.424412178,255925.653940795,189506.903594705
221897.033451268,220659.562766865,256914.154412996,190932.709852859
206442.721424666,205097.670084496,242691.199295374,175031.110608386
206166.664730875,204863.364479463,242930.296414677,174162.548819624
214266.76553076,212350.101127944,254755.325357102,179886.083546767
230085.691848982,227578.945851338,276704.005251176,192385.179166374
