208558.918902236+0i,191415.252887752+0i,207890.644167597+0i,245788.608280214+0i,185240.501886519+0i,202040.348171624+0i,186126.896085319+0i,226369.588619219+0i,222034.677183347+0i,215066.98815993+0i,204928.179846341+0i,196145.851803003+0i,218069.072189281+0i,238778.354466976+0i,205656.461455087+0i,228914.583983315+0i,205411.918633625+0i,227303.967699075+0i,257580.135576178+0i,215858.858964493+0i,243359.707135597+0i,237250.470670007+0i,241469.205437337+0i,210516.379634061+0i,203336.935496445+0i,212590.009136647+0i,236913.170463211+0i,210138.375009497+0i,235614.268921706+0i,200598.52320985+0i,207249.151964923+0i,210696.087457792+0i,204084.848230066+0i,199654.795870277+0i,243500.898552161+0i,230367.771896082+0i,214027.667520032+0i,205307.807466623+0i,221961.440224894+0i,224574.211187253+0i,203705.681121251+0i,221136.630882149+0i,240766.112476201+0i,224998.695155612+0i,227235.886831805+0i,235062.85662708+0i,184811.156316701+0i,213857.934845361+0i,206526.930793626+0i,220952.187930845+0i,200422.321014963+0i,199309.111185593+0i,223220.754732494+0i,208054.249804247+0i,210285.893357609+0i,226682.526011213+0i,200698.223280562+0i,211059.491972925+0i,200301.338270223+0i,205443.673812661+0i,202477.626881245+0i,205651.592769015+0i,231979.892867886+0i,231626.471695694+0i,224459.614924782+0i,199685.633436574+0i,229210.40477009+0i,231263.978096461+0i,212382.175081992+0i,232477.388581447+0i,214915.578856498+0i,229627.590522008+0i,205957.59680972+0i,240130.574548172+0i,249793.995543922+0i,252322.324464077+0i,221302.282366514+0i,208569.777811795+0i,235787.621485454+0i,194250.073884055+0i,211746.364695596+0i,230738.557502542+0i,209484.940160131+0i,240068.732326713+0i,193207.040777077+0i,204251.512025412+0i,244366.949661314+0i,213181.076213552+0i,214823.240076089+0i,207846.187012507+0i,188059.049800765+0i,219929.644452297+0i,231361.745224752+0i,189702.141949626+0i,226033.249838211+0i,227273.757495863+0i,234932.860197976+0i,223925.574853315+0i,174124.101111813+0i,228423.998171106+0i
233593.834754569+0i,233876.508241706+0i,254143.553301318+0i,277911.768137322+0i,225668.070740238+0i,229498.140768055+0i,245939.251500541+0i,261172.335646582+0i,245568.652391522+0i,247552.411936511+0i,246256.836820752+0i,228933.482304814+0i,263837.908113988+0i,267346.30607609+0i,244156.264395326+0i,250366.002998379+0i,238617.478950289+0i,259803.480157515+0i,286244.336560661+0i,265140.962344691+0i,273100.625312115+0i,280078.333230183+0i,262865.07045146+0i,255132.191095013+0i,240540.398453778+0i,246429.878602398+0i,259651.57447826+0i,246737.451562278+0i,263348.107178113+0i,242060.103616461+0i,238186.955510381+0i,259966.510614715+0i,240975.769395838+0i,248048.980939825+0i,260596.263712507+0i,259304.803357791+0i,245561.529066479+0i,234880.81623269+0i,258224.512907409+0i,257651.560527095+0i,233622.087686343+0i,249526.240740617+0i,264745.458939813+0i,258062.165168028+0i,257184.103165992+0i,268426.613437943+0i,230495.475935608+0i,254697.214067148+0i,235308.672877025+0i,244038.076146601+0i,242572.762630601+0i,243651.535175036+0i,269329.751614199+0i,241643.689933786+0i,241363.940137188+0i,252032.041247028+0i,230334.994942974+0i,255770.059952071+0i,234709.259493592+0i,250085.585060972+0i,235384.168224413+0i,240453.016575831+0i,258925.148735511+0i,256195.327466958+0i,257311.96834655+0i,248239.797427064+0i,258079.780611235+0i,273731.346421806+0i,251122.185631575+0i,263910.212147527+0i,251875.673365198+0i,263193.576483552+0i,248086.192308121+0i,265105.474169605+0i,274592.731162896+0i,277711.141132969+0i,261652.642243539+0i,254044.06863339+0i,267632.919906625+0i,232584.574549619+0i,246680.419163617+0i,260987.951058507+0i,251385.306094799+0i,266566.92137398+0i,223151.232872102+0i,246860.264313888+0i,261109.213022489+0i,252889.290712656+0i,258140.822223367+0i,255793.135580266+0i,231248.66629015+0i,246028.515166269+0i,254128.976803551+0i,231871.575650806+0i,254255.27917501+0i,246045.332998179+0i,259064.378816502+0i,247820.533437699+0i,217066.266654067+0i,255700.401159376+0i
271335.99274621+0i,275839.50773059+0i,286801.778711804+0i,306273.813681983+0i,262921.748945411+0i,266297.826162443+0i,278336.720142164+0i,296748.970163424+0i,278344.779629701+0i,283471.275518906+0i,278047.311929431+0i,269629.612458183+0i,292420.353653377+0i,292594.821430596+0i,285558.694214775+0i,288194.395138792+0i,283036.179635823+0i,301319.332638594+0i,318984.243961382+0i,301151.100841529+0i,305790.088543224+0i,300202.92156411+0i,298999.864094452+0i,302590.595089243+0i,281728.246342773+0i,273880.031526772+0i,298979.90886585+0i,285896.985422175+0i,297028.171209531+0i,286309.17602599+0i,275139.908495657+0i,286570.278430452+0i,270944.910761052+0i,288969.535295971+0i,292165.767923407+0i,293162.614904659+0i,290015.230855161+0i,280635.819899122+0i,299053.535470618+0i,290106.277968691+0i,269253.564235088+0i,286761.237722737+0i,295345.75646082+0i,285943.312005908+0i,291969.57464368+0i,303011.071826773+0i,277395.411654273+0i,286287.148762987+0i,271685.771415132+0i,285052.414758348+0i,273356.682216968+0i,278214.959437267+0i,296554.167502548+0i,278800.95590638+0i,273898.839736578+0i,291802.462973434+0i,271342.549757509+0i,289986.819545424+0i,267115.747851055+0i,286753.720523787+0i,280947.224485915+0i,279445.88616456+0i,291481.581533897+0i,281428.831591468+0i,293424.125681472+0i,289810.576480622+0i,293595.905212944+0i,300066.947173572+0i,292183.338613637+0i,294333.435115031+0i,284761.134088094+0i,296398.016069778+0i,281542.365514172+0i,295841.614890931+0i,302517.143061453+0i,302774.759193176+0i,285430.120996013+0i,283956.847295544+0i,308127.949179909+0i,276013.334435177+0i,280337.341006426+0i,297900.52312329+0i,292187.698602274+0i,295422.21858312+0i,269049.145507212+0i,290429.397599943+0i,296609.360247745+0i,293395.724393002+0i,296577.17898397+0i,276414.088583469+0i,275299.960030814+0i,280161.741812402+0i,290326.431768186+0i,262741.86437963+0i,284700.842202375+0i,270459.842175179+0i,290191.449818214+0i,283334.758139847+0i,257951.8753523+0i,287782.812055548+0i
306378.559629697+0i,313300.15048042+0i,320928.373565511+0i,337406.889750503+0i,298962.194181362+0i,301033.590987104+0i,319714.736487709+0i,317617.745334487+0i,315435.467905221+0i,316418.203860552+0i,314330.996307305+0i,302190.619727647+0i,316320.552264495+0i,319092.447289797+0i,323203.783187817+0i,315665.986837154+0i,313216.181103384+0i,321616.89072977+0i,333307.253921962+0i,329412.175411251+0i,326181.979998536+0i,333214.310612462+0i,324115.884753708+0i,325768.390115768+0i,319518.31603762+0i,308948.223549196+0i,329221.177849184+0i,322180.018986191+0i,314075.319790569+0i,313163.907708911+0i,310286.515880157+0i,320299.044557313+0i,306755.706166878+0i,321366.878447208+0i,324092.163292951+0i,321905.987196792+0i,323574.469088609+0i,314404.000974072+0i,325776.645085829+0i,317239.931474164+0i,307154.557944365+0i,313773.389609057+0i,329940.230329135+0i,311301.486276731+0i,319208.019559425+0i,327923.384388011+0i,317542.43773205+0i,317780.150715847+0i,306707.114508199+0i,314757.982793965+0i,314042.833268036+0i,305697.312769974+0i,327277.656561628+0i,313523.077091459+0i,309932.209535083+0i,324635.26668246+0i,311494.902596247+0i,322211.336960564+0i,306092.397877513+0i,317883.343227878+0i,314480.699138127+0i,311690.115924497+0i,314826.836514528+0i,310182.03966916+0i,323555.335664785+0i,315099.02992532+0i,318743.898680223+0i,329924.042534105+0i,321335.339129599+0i,325326.089626769+0i,311963.285987718+0i,324106.616470893+0i,312418.895422733+0i,327593.87724777+0i,331795.637900277+0i,318092.197382408+0i,316800.465044654+0i,317298.355136632+0i,323660.330981067+0i,311375.097848756+0i,312439.103162907+0i,327446.183982718+0i,310743.774339662+0i,321139.287393422+0i,310634.944196061+0i,317841.199279429+0i,324494.261621408+0i,318273.207106739+0i,326343.820513179+0i,317649.601693068+0i,309864.821111038+0i,310501.609485802+0i,323412.228791909+0i,298325.039130565+0i,322371.595440485+0i,305505.023143619+0i,313936.032463272+0i,314080.856078881+0i,299546.177643736+0i,324271.948583447+0i
322406.43534768+0i,330288.32644236+0i,331708.605765562+0i,337046.47053558+0i,318548.300865504+0i,319613.043421739+0i,318201.894133258+0i,328516.649726723+0i,327879.99277002+0i,329159.110674245+0i,320750.220414769+0i,314886.062286188+0i,340938.873706103+0i,329227.133882011+0i,328937.087876253+0i,329680.736836271+0i,324639.771395215+0i,334995.741061206+0i,342601.240631489+0i,335649.89445935+0i,337596.452452597+0i,345103.968717442+0i,325534.645385452+0i,335382.031033136+0i,328372.97624622+0i,332570.339021457+0i,331068.257682361+0i,335294.21550145+0i,320248.120950783+0i,328893.116130386+0i,324904.229986612+0i,323830.054439164+0i,316562.242403685+0i,332984.648600835+0i,336140.141595487+0i,337194.007162643+0i,330082.064883643+0i,325238.343161714+0i,330634.745995548+0i,327556.20276148+0i,323205.043347546+0i,324622.484343805+0i,336864.806117897+0i,319010.037479503+0i,325899.499727423+0i,332057.374014028+0i,335369.844481678+0i,315471.882227043+0i,324502.986170407+0i,323991.937354351+0i,326749.569245958+0i,320394.695638555+0i,333235.557555862+0i,327359.600924183+0i,325598.98620989+0i,333613.297664291+0i,325381.511492049+0i,335277.82538323+0i,314752.495380753+0i,323638.89733498+0i,331319.755987169+0i,324531.593225003+0i,327555.678027929+0i,330078.210247364+0i,332801.855207528+0i,328818.531830445+0i,333988.329863206+0i,340852.916176857+0i,333428.190705888+0i,329464.436430522+0i,321267.036373881+0i,340519.17040313+0i,327775.670711257+0i,333567.062675843+0i,334385.04916869+0i,330098.125420393+0i,325604.116887347+0i,326659.354741377+0i,332635.246095483+0i,328566.535126562+0i,327053.404336099+0i,335556.894199567+0i,328972.672045065+0i,333499.842483737+0i,328265.060961826+0i,328857.191598276+0i,325965.191911984+0i,331678.109626947+0i,334942.317537302+0i,330356.799200232+0i,322229.869335825+0i,324872.339683771+0i,337731.779268335+0i,322605.40169375+0i,328867.7351775+0i,324537.068736563+0i,335983.6667584+0i,323531.355338881+0i,317442.353490894+0i,336584.580270427+0i
328633.910657355+0i,333984.829527828+0i,334327.043912877+0i,342705.014512804+0i,325898.089619984+0i,326196.802966494+0i,324664.832541231+0i,337821.228641745+0i,330525.187872806+0i,333526.371542686+0i,319370.172524461+0i,323715.55359496+0i,343893.64989047+0i,336283.412620732+0i,334930.495706227+0i,334811.1488329+0i,327668.734829197+0i,340224.274830174+0i,337209.450711329+0i,343112.276883454+0i,341874.451783033+0i,339423.332023448+0i,332158.209363754+0i,342561.710803013+0i,337033.520121081+0i,332413.561235977+0i,343517.206296913+0i,338370.478254978+0i,327705.273404313+0i,329597.139729249+0i,330964.540031037+0i,331614.240667404+0i,324289.229780037+0i,338095.016797834+0i,344928.655452593+0i,335107.978346102+0i,330671.535763102+0i,330328.461580562+0i,336173.354160452+0i,326584.900183643+0i,336125.758886921+0i,322549.241422133+0i,341505.092834478+0i,324797.851524693+0i,329102.254915136+0i,343489.489980389+0i,333288.579352334+0i,321831.073098857+0i,332858.789465375+0i,327993.27222617+0i,330626.168603652+0i,323698.534785183+0i,338422.294513713+0i,329179.732504185+0i,333756.722694469+0i,341563.453752579+0i,330980.517949601+0i,341633.755046998+0i,327996.77381617+0i,329555.401613424+0i,340105.19827397+0i,328986.209396708+0i,335905.975066037+0i,335695.563501487+0i,338263.984927799+0i,333604.022028661+0i,328949.732878323+0i,345585.847574528+0i,332050.137660806+0i,338726.720540424+0i,334905.702018138+0i,334173.313494927+0i,332142.61860813+0i,338272.249607909+0i,338531.42063619+0i,337716.331892927+0i,332160.645067995+0i,331636.57187379+0i,341174.351983256+0i,329016.411662126+0i,333866.232688162+0i,343172.200240312+0i,337243.108767966+0i,335801.312292475+0i,335604.521246033+0i,331972.080343012+0i,330806.641652454+0i,331633.109509892+0i,333262.743045841+0i,333429.99995219+0i,326102.90734042+0i,335938.473150214+0i,345716.640500391+0i,327634.123431549+0i,340416.210591949+0i,327004.901288738+0i,343233.618256593+0i,332984.704407035+0i,322299.178255608+0i,337821.959308957+0i
330661.537097896+0i,329963.969929155+0i,333397.790528813+0i,340743.580979589+0i,330371.400823008+0i,323431.991879641+0i,327786.106574767+0i,336334.387782034+0i,331278.614021169+0i,328146.907972413+0i,324574.667784533+0i,322383.518801305+0i,333591.611726919+0i,329918.681373552+0i,331039.688650461+0i,333219.818128713+0i,330928.662756227+0i,341960.90852053+0i,333602.927728667+0i,345226.255406213+0i,338713.743784244+0i,346699.667712648+0i,331243.167418411+0i,335108.22289665+0i,338602.377362668+0i,329040.978470073+0i,341810.408998983+0i,339818.590537574+0i,322452.536935628+0i,323089.537156975+0i,332788.410089319+0i,332072.112721989+0i,325693.196061502+0i,342676.462572239+0i,337809.644046643+0i,330574.96278629+0i,331974.203944705+0i,329313.853426443+0i,331279.774161143+0i,333454.317437602+0i,339236.220506248+0i,321331.557923603+0i,341676.425854704+0i,329158.539780071+0i,326436.272384195+0i,341193.875968802+0i,335336.509124612+0i,318650.734318254+0i,326173.803992321+0i,334876.034271049+0i,332206.856827583+0i,321704.356055287+0i,333956.837540542+0i,331429.480603023+0i,339459.147702956+0i,329541.046933128+0i,325108.715058545+0i,345492.289705467+0i,317868.768519263+0i,326657.486995446+0i,332957.876583172+0i,325874.547921199+0i,333967.940778475+0i,333106.760394851+0i,335522.341402364+0i,329722.01493898+0i,329395.856777999+0i,345104.704463167+0i,331140.261900756+0i,330831.013031338+0i,332651.043784136+0i,330660.291717181+0i,332516.769927301+0i,339849.327279421+0i,334937.365713747+0i,334643.725365391+0i,328226.092389221+0i,318386.83648662+0i,335301.902030489+0i,325429.320165637+0i,331062.78826915+0i,341183.382474966+0i,330644.617632545+0i,326122.569867323+0i,338558.642040164+0i,325219.529378824+0i,336755.036481676+0i,328409.444164138+0i,331335.39382899+0i,333093.19183111+0i,327412.18021081+0i,333434.250221028+0i,337912.356012572+0i,323473.948547945+0i,340119.69018352+0i,326281.078814579+0i,342328.049071007+0i,331279.444711868+0i,320959.16878821+0i,338419.757731978+0i
326012.304446493+0i,333873.725323771+0i,328443.95956647+0i,349191.455629516+0i,328702.190001723+0i,323475.285905933+0i,326694.109912845+0i,337937.931764657+0i,330847.055592486+0i,332414.611350561+0i,320279.289475993+0i,328225.020912342+0i,338833.715832378+0i,337659.488162299+0i,331641.953423835+0i,333227.975774522+0i,332427.044675155+0i,339600.962387397+0i,341782.214168023+0i,349613.128629798+0i,340009.845064581+0i,345346.199362657+0i,340391.717870392+0i,343262.184083697+0i,339581.677454996+0i,334950.46918575+0i,339793.109898397+0i,340709.552717335+0i,317742.636603078+0i,329274.844548492+0i,331738.221110288+0i,331019.714756642+0i,331179.608309342+0i,337977.08375758+0i,335203.794137392+0i,337900.057914598+0i,335274.651490973+0i,328460.465545005+0i,326406.103660079+0i,338467.221719162+0i,338839.737420535+0i,324847.486806063+0i,338805.977666821+0i,329117.273744232+0i,329971.373745753+0i,342379.744297418+0i,336691.97213742+0i,319819.192275129+0i,325727.642993802+0i,330941.737147321+0i,331211.201154955+0i,323519.134166324+0i,343170.477146299+0i,331342.008696071+0i,339930.389365878+0i,336276.456974976+0i,325418.094680563+0i,335430.456334607+0i,322697.927795254+0i,334391.585668031+0i,335919.398098067+0i,319346.769183464+0i,336977.996385951+0i,337133.14076187+0i,335015.863168546+0i,334620.664183318+0i,343414.823161148+0i,345581.234215883+0i,339179.850623217+0i,332872.792999253+0i,330234.166749286+0i,333009.678691964+0i,338888.716175126+0i,339479.593229963+0i,336402.057860895+0i,338388.247052762+0i,334507.551756642+0i,327822.090447953+0i,337970.858804862+0i,332049.589167143+0i,337120.675843254+0i,334865.420667775+0i,337656.949132186+0i,329593.371123608+0i,330585.380221653+0i,326949.887790699+0i,339445.649625624+0i,327214.366438687+0i,335920.603092268+0i,330783.063704176+0i,334758.106938673+0i,338859.316424807+0i,337541.6048416+0i,330887.835004673+0i,342614.591155899+0i,333817.193263426+0i,346267.489969886+0i,332160.056353298+0i,322704.924096888+0i,354727.946960641+0i
322316.811270799+0i,328983.808167947+0i,329941.794875038+0i,345409.449215435+0i,322673.938442403+0i,320729.428319965+0i,313302.73500847+0i,330918.123284934+0i,334087.391415513+0i,329694.890266749+0i,316428.878417393+0i,322824.233077541+0i,323894.76271566+0i,315766.340794113+0i,324747.085369743+0i,327510.112025761+0i,329342.920028456+0i,334236.153219589+0i,327550.967046366+0i,355493.252108453+0i,331278.173687988+0i,340667.194237976+0i,332058.192614701+0i,337184.301140651+0i,329232.941877331+0i,322740.655582122+0i,337004.721073019+0i,336258.903291842+0i,315949.371772992+0i,329437.441742376+0i,330928.695764026+0i,324628.838170439+0i,328537.294037544+0i,333568.723062631+0i,328870.596998468+0i,333253.322592329+0i,320656.646624373+0i,322914.04862236+0i,316264.384225095+0i,335329.458217574+0i,329614.020673072+0i,317391.841745184+0i,333116.758494016+0i,325919.744603597+0i,327025.534284738+0i,345381.2679593+0i,331434.479949518+0i,325866.760903082+0i,325088.676881036+0i,326964.823769501+0i,333526.373502212+0i,319265.464964617+0i,340826.56028366+0i,333234.344074662+0i,332262.788877302+0i,333890.148409262+0i,323425.827457447+0i,323671.742971898+0i,315822.537729546+0i,317802.764393008+0i,329955.898046788+0i,316308.487258751+0i,330774.82878373+0i,333775.280657866+0i,330462.899554013+0i,331938.794991293+0i,321046.46425489+0i,339615.519453847+0i,335256.420150645+0i,329364.512995908+0i,325234.813518272+0i,330681.575178734+0i,327763.642961518+0i,342101.854409943+0i,331780.718645118+0i,334965.803553638+0i,332172.346180371+0i,319103.14465918+0i,337347.083871571+0i,326438.612579112+0i,328121.420366559+0i,331701.881937722+0i,329067.170257468+0i,329304.034209623+0i,324449.001026445+0i,324073.97293401+0i,336424.036922474+0i,324128.756023943+0i,330775.441517702+0i,326716.720203668+0i,326560.292570063+0i,338475.939743272+0i,332348.772894492+0i,327311.488083125+0i,346292.053397428+0i,321581.052106125+0i,337828.664992402+0i,327095.71631771+0i,320507.140793869+0i,344785.759700269+0i
324588.224272689+0i,328636.650298496+0i,337127.109441515+0i,348922.212179491+0i,323930.284088922+0i,317689.026371022+0i,318452.788745591+0i,340514.865177657+0i,331877.945211787+0i,326254.874226449+0i,319642.131561139+0i,322205.241168142+0i,321647.753856829+0i,323194.06505371+0i,331617.533862159+0i,324777.194246815+0i,315606.398658237+0i,332745.56535215+0i,334208.769008013+0i,351837.064277261+0i,328661.232651217+0i,346754.400818071+0i,335637.267976065+0i,339995.849678038+0i,331559.37181967+0i,323368.508642302+0i,339946.144460868+0i,336369.86323171+0i,322168.141853171+0i,322072.023779275+0i,333721.031625536+0i,331637.682310658+0i,325504.857013462+0i,337187.114875749+0i,329703.483844033+0i,328595.434095371+0i,320768.296022276+0i,325218.710867507+0i,320976.378243617+0i,324187.710519043+0i,329577.045808829+0i,321467.440668162+0i,340397.154034365+0i,325721.05762488+0i,328028.610835481+0i,348196.619169971+0i,324388.283536714+0i,311494.603706425+0i,324731.43567423+0i,330033.917161367+0i,332320.166309281+0i,325748.154296023+0i,345011.568556602+0i,338974.528630413+0i,328055.270504925+0i,331923.086136453+0i,320709.347069544+0i,323312.775385473+0i,314192.48489563+0i,320592.485419293+0i,329726.065297101+0i,317348.758687201+0i,332889.637416226+0i,329200.820561823+0i,331936.72124846+0i,326503.9214+0i,329074.278336173+0i,337070.725220215+0i,330708.432976248+0i,331192.318875534+0i,329940.355497349+0i,333305.589938887+0i,330402.531881529+0i,338983.264587649+0i,330869.717413869+0i,335691.95408086+0i,334488.831630646+0i,321435.333434554+0i,333674.242232307+0i,322252.278826132+0i,327542.464834242+0i,333809.913267969+0i,338683.829702702+0i,327096.447088256+0i,328751.677850355+0i,320702.210303539+0i,330344.133119367+0i,314949.735940315+0i,327886.157963527+0i,323751.897162519+0i,322277.841852869+0i,337093.920332309+0i,324245.537934359+0i,331503.256966107+0i,343673.090153061+0i,328638.052888959+0i,332218.490328219+0i,326815.3076356+0i,323252.34467329+0i,349325.641407448+0i
320816.421967949+0i,327390.72825276+0i,333939.942716555+0i,352260.520712417+0i,316551.661255738+0i,310828.25924054+0i,311819.526847497+0i,331128.449267761+0i,321442.278805868+0i,323432.235827034+0i,310661.603740078+0i,311129.059750849+0i,323883.914940078+0i,307000.387156328+0i,328275.722774538+0i,323307.882495508+0i,313807.729982684+0i,329816.863832954+0i,320662.230976914+0i,345831.199381005+0i,329910.028490121+0i,345661.884963685+0i,335830.306839482+0i,328339.703306747+0i,332477.842772285+0i,316744.259849224+0i,329383.463799285+0i,340487.151769967+0i,325693.90129846+0i,318231.56823796+0i,327385.857448467+0i,329017.434138418+0i,321716.439735332+0i,332632.794583057+0i,317907.903110158+0i,320541.275934821+0i,318609.459744534+0i,314378.188003823+0i,312602.30174552+0i,319294.740591574+0i,324669.825303859+0i,317754.07657611+0i,329523.255860138+0i,315081.869714479+0i,319119.681677221+0i,334427.326368934+0i,318911.810498808+0i,308791.85193974+0i,323798.23287522+0i,319133.733145594+0i,321054.927129327+0i,313968.82819653+0i,335477.776492676+0i,327236.151628639+0i,320728.435428918+0i,332513.931467543+0i,314859.551876507+0i,313652.685867442+0i,317138.992794521+0i,319015.620069375+0i,327328.634496325+0i,313124.913808608+0i,323037.964367262+0i,332884.662445849+0i,329530.801022678+0i,325121.279055181+0i,318806.783181769+0i,344512.256600456+0i,321990.139418125+0i,328309.825804421+0i,320543.863353438+0i,326479.397445171+0i,321814.956902977+0i,332455.766726888+0i,335717.919322803+0i,327148.201309762+0i,322422.70876091+0i,323292.067600206+0i,326715.107446931+0i,329031.643176464+0i,320987.631076539+0i,334884.975446363+0i,328334.613548996+0i,320489.750775587+0i,321833.134042693+0i,313303.040918844+0i,324239.17908213+0i,320812.177669915+0i,326714.611085077+0i,318183.120584436+0i,309549.088769674+0i,335680.130309596+0i,321652.417325629+0i,324946.37049698+0i,341081.88652489+0i,323712.258497273+0i,331048.599261752+0i,318705.817968703+0i,312077.815269126+0i,334500.435836214+0i
